epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,361.437,0.89811,0.69582,0.89538,0.63965,0.48714,0.52172,0.33967,0.85569,0.51803,0.88505,0.000276855,0.000276855,0.000276855
2,684.499,0.83775,0.49237,0.8748,0.7248,0.55168,0.60474,0.4041,0.7974,0.46604,0.86863,0.000444726,0.000444726,0.000444726
3,1002.77,0.81337,0.46552,0.86661,0.72024,0.57261,0.61746,0.41939,0.75186,0.43334,0.86263,0.000502642,0.000502642,0.000502642
4,1317.56,0.77437,0.43918,0.8572,0.78181,0.5827,0.65268,0.45175,0.7259,0.41366,0.85443,0.000338198,0.000338198,0.000338198
5,1634.32,0.74179,0.40999,0.84992,0.78618,0.59055,0.67138,0.46836,0.71482,0.39019,0.85162,0.000173264,0.000173264,0.000173264
