epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,239.633,0.91653,0.7078,0.8912,0.66235,0.41581,0.4623,0.30105,0.82643,0.49076,0.86074,0.000276855,0.000276855,0.000276855
2,473.352,0.84781,0.49597,0.86943,0.64133,0.46141,0.49452,0.3233,0.8018,0.49877,0.85517,0.000444726,0.000444726,0.000444726
3,707.32,0.82277,0.46909,0.86023,0.73407,0.49875,0.55626,0.36868,0.75656,0.44777,0.84261,0.000502642,0.000502642,0.000502642
4,945.056,0.78352,0.44022,0.85068,0.7694,0.50553,0.56685,0.3777,0.7332,0.41172,0.83862,0.000338198,0.000338198,0.000338198
5,1182.57,0.74882,0.41236,0.84374,0.78659,0.5135,0.58334,0.39524,0.73097,0.39107,0.83867,0.000173264,0.000173264,0.000173264
