epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,255.737,0.91779,0.71284,0.89341,0.60166,0.39303,0.44193,0.27693,0.89814,0.54193,0.87477,0.000276855,0.000276855,0.000276855
2,506.504,0.85416,0.50155,0.87207,0.67768,0.45313,0.49719,0.32083,0.8067,0.49629,0.8549,0.000444726,0.000444726,0.000444726
3,760.593,0.82907,0.4776,0.86255,0.67271,0.49834,0.53817,0.35216,0.78579,0.46226,0.84626,0.000502642,0.000502642,0.000502642
4,1017.35,0.78474,0.44323,0.85218,0.77445,0.49931,0.57241,0.38144,0.72576,0.40884,0.83812,0.000338198,0.000338198,0.000338198
5,1269.22,0.7468,0.41141,0.8437,0.80073,0.51221,0.58358,0.39682,0.72556,0.39021,0.83748,0.000173264,0.000173264,0.000173264
